symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
HOOD,mean_reversion,oversold+volume+sma_support,3,2021-12-01,2021-12-02,23.983959,2021-12-06,21.31866,stop_loss,6.21248558,6.21248558,False,,0.0,0.0,0.0,131.441869,2.0,1.0,150.0,131.441869,4,22.305082,26.382355,0.035,False,28.9,3.31,False,-18.558131,-12.372087,-16.558131,0,0
HOOD,mean_reversion,oversold+sma_support,2,2021-12-06,2021-12-07,22.67265,2021-12-13,19.680301,trailing_stop,6.57179476,6.57179476,False,,0.0,0.0,0.0,128.334897,2.0,1.0,150.0,128.334897,6,20.990339,24.939915,0.0371,False,23.6,0.99,False,-21.665103,-14.443402,-19.665103,0,0
REGN,momentum_breakout,breakout,3,2021-12-13,2021-12-14,646.778721,2021-12-17,624.515531,stop_loss,0.23037245,0.23037245,False,,0.0,0.0,0.0,142.871174,2.0,1.0,150.0,142.871174,3,627.504716,763.198891,0.0149,False,59.6,1.54,False,-7.128826,-4.75255,-5.128826,0,0
GILD,mean_reversion,oversold+volume,2,2021-10-29,2021-11-01,54.300417,2021-12-20,60.806092,mean_reversion_complete,2.74399365,1.37199683,True,2021-12-16,60.257145,1.37199683,81.672611,82.425765,3.0,1.0,150.0,164.098376,49,52.942907,59.730459,0.0125,False,26.0,2.3,False,14.098376,9.398918,17.098376,1,1
AMT,mean_reversion,oversold+volume,2,2021-11-15,2021-11-16,225.477038,2022-01-12,224.203113,trailing_stop,0.66082117,0.33041058,True,2021-12-29,247.427496,0.33041058,80.752664,73.079082,3.0,1.0,150.0,153.831745,57,219.298968,248.024742,0.0137,False,28.4,2.39,False,3.831745,2.554497,6.831745,1,1
BMY,mean_reversion,oversold+volume,2,2021-11-30,2021-12-01,44.353678,2022-01-12,53.69284,mean_reversion_complete,3.35936061,1.67968031,True,2021-12-15,48.926275,1.67968031,81.180501,89.186806,3.0,1.0,150.0,170.367308,42,43.386768,48.789046,0.0109,False,29.3,1.96,False,20.367308,13.578205,23.367308,1,1
UBER,mean_reversion,oversold+sma_support,2,2021-12-03,2021-12-06,35.985951,2022-01-19,38.171789,trailing_stop,4.14050475,2.07025237,True,2021-12-20,38.411551,2.07025237,78.521604,78.025237,3.0,1.0,150.0,156.546841,44,33.394962,39.584546,0.036,False,28.5,1.46,False,6.546841,4.364561,9.546841,1,1
FCX,momentum_breakout,breakout,3,2022-01-12,2022-01-13,41.800179,2022-01-24,37.113776,stop_loss,3.56457801,3.56457801,False,,0.0,0.0,0.0,131.29495,2.0,1.0,150.0,131.29495,11,39.910811,49.324212,0.0226,False,69.1,1.81,False,-18.70505,-12.470034,-16.70505,0,0
TGT,mean_reversion,oversold+sma_support,2,2021-12-20,2021-12-21,188.996191,2022-01-27,184.715441,stop_loss,0.78837568,0.78837568,False,,0.0,0.0,0.0,144.625161,2.0,1.0,150.0,144.625161,37,182.381324,207.89581,0.0175,False,27.7,1.22,False,-5.374839,-3.583226,-3.374839,0,0
CAT,momentum_breakout,breakout,3,2022-01-19,2022-01-20,205.17704,2022-01-28,190.420045,stop_loss,0.72620211,0.72620211,False,,0.0,0.0,0.0,137.283439,2.0,1.0,150.0,137.283439,8,198.488268,242.108907,0.0163,False,68.2,1.54,False,-12.716561,-8.477707,-10.716561,0,0
XOM,momentum_breakout,breakout,3,2022-01-24,2022-01-25,61.799945,2022-03-16,66.844583,trailing_stop,2.41100538,1.20550269,True,2022-03-08,76.500574,1.20550269,91.221648,79.581325,3.0,1.0,150.0,170.802973,50,59.760547,72.923935,0.0165,False,68.8,1.65,False,20.802973,13.868649,23.802973,1,1
SLB,momentum_breakout,breakout,3,2022-01-28,2022-01-31,35.311804,2022-03-16,35.47714,trailing_stop,4.21955215,4.21955215,False,,0.0,0.0,0.0,148.697643,2.0,1.0,150.0,148.697643,44,33.50384,41.667929,0.0256,False,68.3,1.7,True,-1.302357,-0.868238,0.697643,0,1
CVX,momentum_breakout,breakout,3,2022-01-27,2022-01-28,107.723954,2022-04-28,131.576681,trailing_stop,1.38316497,0.69158249,True,2022-03-03,127.239555,0.69158249,86.996647,89.996128,3.0,1.0,150.0,176.992775,90,104.923131,127.114266,0.013,False,74.4,1.52,False,26.992775,17.995184,29.992775,1,1
BRK-B,momentum_breakout,breakout,3,2021-12-17,2021-12-20,291.060759,2022-05-02,323.785875,trailing_stop,0.51192061,0.2559603,True,2022-03-18,343.775875,0.2559603,86.992977,81.876331,3.0,1.0,150.0,168.869308,133,283.726028,343.451696,0.0126,False,65.4,2.26,False,18.869308,12.579539,21.869308,1,1
